state,pupils2017,pupils2016,pupils2015,pupils2014,pupils2013,pupils2012,pupils2011,pupils2010,pupils2009,pupils2008,pupils2007,pupils2006,pupils2005,pupils2004,pupils2003,pupils2002,pupils2001,pupils2000,pupils1999,pupils1998,pupils1997,pupils1996,pupils1995,total_rev_nom2017,total_rev_nom2016,total_rev_nom2015,total_rev_nom2014,total_rev_nom2013,total_rev_nom2012,total_rev_nom2011,total_rev_nom2010,total_rev_nom2009,total_rev_nom2008,total_rev_nom2007,total_rev_nom2006,total_rev_nom2005,total_rev_nom2004,total_rev_nom2003,total_rev_nom2002,total_rev_nom2001,total_rev_nom2000,total_rev_nom1999,total_rev_nom1998,total_rev_nom1997,total_rev_nom1996,total_rev_nom1995,local_rev_nom2017,local_rev_nom2016,local_rev_nom2015,local_rev_nom2014,local_rev_nom2013,local_rev_nom2012,local_rev_nom2011,local_rev_nom2010,local_rev_nom2009,local_rev_nom2008,local_rev_nom2007,local_rev_nom2006,local_rev_nom2005,local_rev_nom2004,local_rev_nom2003,local_rev_nom2002,local_rev_nom2001,local_rev_nom2000,local_rev_nom1999,local_rev_nom1998,local_rev_nom1997,local_rev_nom1996,local_rev_nom1995,state_rev_nom2017,state_rev_nom2016,state_rev_nom2015,state_rev_nom2014,state_rev_nom2013,state_rev_nom2012,state_rev_nom2011,state_rev_nom2010,state_rev_nom2009,state_rev_nom2008,state_rev_nom2007,state_rev_nom2006,state_rev_nom2005,state_rev_nom2004,state_rev_nom2003,state_rev_nom2002,state_rev_nom2001,state_rev_nom2000,state_rev_nom1999,state_rev_nom1998,state_rev_nom1997,state_rev_nom1996,state_rev_nom1995,fed_rev_nom2017,fed_rev_nom2016,fed_rev_nom2015,fed_rev_nom2014,fed_rev_nom2013,fed_rev_nom2012,fed_rev_nom2011,fed_rev_nom2010,fed_rev_nom2009,fed_rev_nom2008,fed_rev_nom2007,fed_rev_nom2006,fed_rev_nom2005,fed_rev_nom2004,fed_rev_nom2003,fed_rev_nom2002,fed_rev_nom2001,fed_rev_nom2000,fed_rev_nom1999,fed_rev_nom1998,fed_rev_nom1997,fed_rev_nom1996,fed_rev_nom1995
Alabama,744930,743789,,746204,744548,744621,738322,748889,745668,742919,743273,743265,729342,730418,727900,726367,728532,730184,737639,739321,737386,735912,727480,7912049000,7607098000,7463813000,7421357000,7207923000,7136949000,7376725000,7281058000,7186390000,7726213000,7069040000,6364028000,5889966000,5356113000,5196054000,5128559000,4832946000,4885917000,4471546000,4140537000,3981788000,3365113000,3367437000,2749746000,2654427000,2533580000,2558244000,2497561000,2398344000,2334041000,2346819000,2296492000,2365769000,2309019000,2093480000,1976480000,1758927000,1661369000,1609151000,1487160000,1456125000,1325798000,1176565000,1106741000,891538000,877114000,4350896000,4148764000,4129071000,4065528000,3898397000,3948651000,3965614000,3800128000,4161103000,4649053000,4070949000,3540436000,3247562000,2971520000,2966981000,3010983000,2879636000,3003814000,2752653000,2589819000,2498847000,2138717000,2161366000,811407000,803907000,801162000,797585000,811965000,789954000,1077070000,1134111000,728795000,711391000,689072000,730112000,665924000,625666000,567704000,508425000,466150000,425978000,393095000,374153000,376200000,334858000,328957000
Alaska,132712,132477,131139,130944,131489,131166,132104,131661,130236,130624,132197,132893,132568,133153,133303,133010,131985,132822,133508,130633,128143,126189,125421,2504501000,2494691000,2932288000,2554973000,2545117000,2383402000,2357828000,2230338000,2158970000,2188587000,1800616000,1625138000,1599739000,1477152000,1425948000,1377767000,1325497000,1313509000,1243227000,1206195000,1131950000,1120346000,1117068000,553794000,573696000,550345000,529749000,516730000,523484000,521513000,506695000,488556000,465870000,465989000,416307000,418162000,380895000,353154000,355127000,363216000,339796000,315911000,303046000,294023000,290725000,284003000,1600503000,1613675000,2036294000,1715699000,1707449000,1507913000,1416163000,1356673000,1357747000,1419318000,1052357000,918976000,878731000,809810000,813371000,773418000,732985000,774194000,740163000,745814000,692364000,706116000,710028000,350204000,307320000,345649000,309525000,320938000,352005000,420152000,366970000,312667000,303399000,282270000,289855000,302846000,286447000,259423000,249222000,229296000,199519000,187153000,157335000,145563000,123505000,123037000
Arizona,1113116,1097702,1102595,1102306,1089246,1080224,1071644,1076157,1085330,1085529,1062307,1035238,1004420,973980,945571,919662,879030,814807,846118,812218,783552,764681,735018,10238872000,9980177000,9541599000,9471961000,9318093000,8934592000,9406478000,9772566000,9640930000,10066505000,9451512000,8736198000,8141563000,7640237000,6960837000,6549707000,5936052000,5479157000,5242265976,4775240000,4343262000,4143304000,3815225000,4175765000,4010628000,4004219000,4095049000,4137381000,4109684000,4199704000,4166610000,4004261000,3870807000,3614840000,3529986000,3371989000,3130677000,2902527000,2768909000,2607723000,2463451000,2353965976,2205425000,2030455000,1966024000,1769608000,4739352000,4667539000,4314140000,4204036000,3893939000,3676776000,3839130000,3809802000,4519015000,5142447000,4816994000,4178564000,3812262000,3615981000,3271722000,3123258000,2730815000,2481088000,2385974000,2083558000,1907516000,1798363000,1669180000,1323755000,1302010000,1223240000,1172876000,1286773000,1148132000,1367644000,1796154000,1117654000,1053251000,1019678000,1027648000,957312000,893579000,786588000,657540000,597514000,534618000,502326000,486257000,405291000,378917000,376437000
Arkansas,493447,492132,490917,489979,486157,483114,482114,480559,478748,477100,476197,473990,462898,454290,450731,449245,449693,450751,451981,456355,457349,452907,447757,5609182000,5517204000,5400557000,5272520000,5131694000,5233194000,5229304000,5114437000,4787521000,4615619000,4428067000,4257915000,3987344000,3391263000,3245444000,3148723000,2974588000,2844855000,2684963000,2567380000,2355859000,2183384000,2057550000,2097585000,2029542000,1964612000,1901305000,1824471000,1878641000,1727529000,1673460000,1604206000,1527101000,1424170000,1373863000,1241627000,1168369000,1086611000,1091272000,999102000,934626000,894019000,835486000,750615000,694985000,615537000,2902045000,2880716000,2844495000,2809362000,2728181000,2681697000,2667090000,2645222000,2644629000,2599186000,2519489000,2401167000,2297891000,1799195000,1778318000,1726236000,1701080000,1655494000,1558565000,1505419000,1387107000,1296247000,1244457000,609552000,606946000,591450000,561853000,579042000,672856000,834685000,795755000,538686000,489332000,484408000,482885000,447826000,423699000,380515000,331215000,274406000,254735000,232379000,226475000,218137000,192152000,197556000
California,6213238,6211501,6221878,6224222,6211527,6214203,6218195,6203551,6234886,6258097,6273063,6296294,6307022,6284502,6226552,6136915,6045030,5941946,5839207,5727224,5595836,5467041,5315832,91812227000,89224004000,78254834000,72411017000,68887831000,69029282000,71010111000,67360750000,73868198000,74507354000,72400456000,66191526000,62061204000,60050268000,59701153000,54378638000,53015752000,46380426000,41161477000,39039248000,35588761000,31265090000,29495947000,32869919000,30604615000,28333124000,26568630000,25895215000,23811441000,23221055000,23467533000,24073935000,24157304000,22926999000,21388221000,20059996000,21724745000,20355362000,18387390000,17454565000,15563539000,13945931000,13073298000,12189443000,11605937000,11346629000,51052657000,50910114000,42365151000,38426525000,35155654000,36423705000,37793351000,34176539000,40076487000,43150165000,42298263000,37403658000,34876499000,31716010000,33571613000,30950392000,31350825000,26857532000,23676592000,22832651000,20554551000,17056375000,15537954000,7889651000,7709275000,7556559000,7415862000,7836962000,8794136000,9995705000,9716678000,9717776000,7199885000,7175194000,7399647000,7124709000,6609513000,5774178000,5040856000,4210362000,3959355000,3538954000,3133299000,2844767000,2602778000,2611364000
Colorado,902117,895956,,876064,,853626,842813,831823,818096,801245,792946,779219,765388,756319,751049,741319,723696,707436,698402,686360,672634,655679,639805,10589380000,10260558000,9782008000,9247708000,8912418000,8694597000,8817569000,8850356000,8446178000,8108464000,7713834000,7297249000,6910296000,6527456000,6297242000,5849588000,5372785000,5073266000,4740254000,4356754000,4132021000,3886829000,3709587000,5280238000,5061660000,4605278000,4528293000,4442644000,4216428000,4294457000,4267769000,4152096000,4135594000,3859096000,3688407000,3483135000,3257610000,3181804000,3050399000,2857543000,2723741000,2501276000,2262618000,2142824000,2029641000,1930273000,4602984000,4477179000,4453709000,4030071000,3767219000,3767205000,3543208000,3861831000,3692133000,3425306000,3323313000,3087886000,2954915000,2834744000,2715219000,2460333000,2222723000,2083318000,2004039000,1879482000,1784265000,1662316000,1577973000,706158000,721719000,723021000,689344000,702555000,710964000,979904000,720756000,601949000,547564000,531425000,520956000,472246000,435102000,400219000,338856000,292519000,266207000,234939000,214654000,204932000,194872000,201341000
Connecticut,520666,523737,528677,533510,539615,544090,550739,555650,548019,552448,556610,552671,555204,554785,554379,549739,539486,531286,523917,516114,507838,499815,489513,11469385000,11551743000,11220425000,10848466000,10412007000,10154657000,9866730000,9801915000,9756387000,9365658000,8950315000,8463141000,7924988000,7301627000,6980992000,6665407000,6349890000,5892443980,5472882980,5032007000,4788374000,4685947000,4419284000,6670699000,6559980000,6318773000,6193893000,6026270000,5838154000,5813685000,5686080000,5698192000,5420108000,5231874000,4902222000,4608255092,4395708920,4122985865,3862989000,3681507000,3345097980,3171936980,3007138000,2910333000,2820636000,2649132000,4314564000,4508016000,4437662000,4213942000,3935093000,3803958000,3254045000,3291886000,3651013000,3555763000,3329243000,3170984000,2908174000,2538824000,2497930000,2505988000,2403658000,2305040000,2083857000,1834067000,1719588000,1703093000,1622686000,484122000,483747000,463990000,440631000,450644000,512545000,799000000,823949000,407182000,389787000,389198000,389935000,408558908,367094000,360076000,296430000,264725000,242306000,217089000,190799000,158453000,162218000,147466000
Delaware,136264,134847,134042,131687,128627,128946,129403,126801,125430,122574,122254,120937,119107,117777,116342,114956,114771,113996,112872,111824,110245,108461,106813,2426071000,2223576000,2198262000,2089061000,2059011000,1975398000,1860320000,1828834000,1808005000,1782490000,1772040000,1606487000,1486509000,1382955000,1283564000,1210278000,1173639000,1106216000,1007524000,937181000,898926000,860410000,802115000,869939000,798864000,803925000,726157000,698128000,616522000,584665000,586740000,585660000,577891000,543781000,483992000,447416000,417824000,370025000,339924000,327612000,314119000,297163000,280915000,266349000,244491000,239863000,1406714000,1280005000,1240685000,1219987000,1200293000,1162781000,1073154000,1051567000,1106196000,1095171000,1120750000,1008685000,928954000,857639000,818870000,782125000,767617000,722116000,648843000,596234000,575855000,567123000,510570000,149418000,144707000,153652000,142917000,160590000,196095000,202501000,190527000,116149000,109428000,107509000,113810000,110139000,107492000,94669000,88229000,78410000,69981000,61518000,60032000,56722000,48796000,51682000
District of Columbia,85746,83404,80913,78153,76140,73840,71277,69433,68229,77706,73305,74406,75435,75146,67522,68449,68925,70762,71889,77111,78648,79802,80450,2524254000,2170632000,2148212000,2087333000,2011375000,1984714000,1837222000,1669520000,1255586000,1591604000,1439378000,1303721000,1294818000,1225132000,1114061000,1138126000,1042261000,881423000,758072000,706938000,711625000,678874000,700111000,2286429000,1944430000,1929973000,1880146000,1813926000,1776464000,1609988000,1520717000,1133340000,1447382000,1260460000,1153602000,1096719000,1040926374,961462000,996612000,927385000,696598000,635102000,590572000,638448000,621004000,634584000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237825000,226202000,218239000,207187000,197449000,208250000,227234000,148803000,122246000,144222000,178918000,150119000,198099000,184207000,152599000,141514000,114876000,184825000,122970000,116366000,73177000,57870000,65527000
Florida,2816791,2792234,2756944,2720744,2692162,2668156,2643347,2634522,2623067,2645680,2656176,2663973,2645280,2592997,2536699,2500179,2431884,2377271,2333567,2292161,2241298,2175352,2107514,29002004000,28125598000,26971491000,26077462000,24681548000,24139266000,26453693000,26231141000,26494500000,30001821000,28898362000,25423686000,23216404000,21623923000,19549835000,18541689000,18467090000,17558787000,17093036000,15595671000,14363709000,13684457000,13242710000,14453195000,14014462000,13191864000,12504507000,12198968000,12368628000,12674198000,13814456000,14752348000,15691385000,14830403000,12747910000,10947078000,9855849000,8903891000,8236358000,7782333000,7355813000,7106124000,6736457000,6348922000,6070811000,5784787000,11346682000,10963807000,10661586000,10460928000,9455562000,8702317000,9069119000,8216582000,9047586000,11830218000,11578932000,10215772000,9940813000,9593760000,8689141000,8542871000,9120855000,8804217000,8719985000,7742607000,7022561000,6671487000,6519109000,3202127000,3147329000,3118041000,3112027000,3027018000,3068321000,4710376000,4200103000,2694566000,2480218000,2489027000,2460004000,2328513000,2174314000,1956803000,1762460000,1563902000,1398757000,1266927000,1116607000,992226000,942159000,938814000
Georgia,1764193,1757071,1744246,1723909,1703132,1685016,1677067,1667685,1650351,1646586,1628409,1597682,1552758,1522424,1495819,1470634,1444937,1422941,1401291,1375980,1346761,1311126,1270948,20611294000,19610778000,18741183000,17954478000,17568147000,17625741000,18037441000,17845877000,17979225000,18688674000,17755989000,16165924000,14724731000,14136215000,13411406000,12961655000,12198959000,11133559000,10321163000,9153295000,8198863000,7708846000,7009705000,9336611000,8837987000,8447746000,8187815000,8073586000,8246158000,8270502000,8502063000,8589433000,8801617000,8373349000,7574701000,6900310000,6601067000,5900775000,5756672000,5549720000,5062219000,4544220000,3862039000,3228815000,3141882000,2922856000,9411948000,8957549000,8454333000,7958495000,7681745000,7511569000,7499327000,6745131000,7745218000,8437500000,7907177000,7136011000,6449103000,6333305000,6483230000,6316537000,5903264000,5375151000,5117145000,4708586000,4446008000,4060905000,3628577000,1862735000,1815242000,1839104000,1808168000,1812816000,1868014000,2267612000,2598683000,1644574000,1449557000,1475463000,1455212000,1375318000,1201843000,1027401000,888446000,745975000,696189000,659798000,582670000,524040000,506059000,458272000
Hawaii,181550,181995,182384,186825,184760,182706,179601,180196,179478,179897,180728,182818,183185,183609,183829,184546,184360,185860,188069,189887,187653,187104,183869,2844167000,3030519000,2703683000,2696665000,2331770000,2535038000,2499513000,2564856000,2689758000,2541703000,2985593000,2705532000,2274166000,2138137000,2078877000,1889600000,1682332000,1404895000,1328572000,1279125000,1213792000,1199019000,1173579000,57845000,59027000,62746000,55076000,58069000,55056000,63280000,89156000,91889000,76658000,47848000,48404000,50578000,50930000,35182000,35222000,30061000,30597000,31085000,30975000,29587000,28531000,28736000,2534177000,2710361000,2381547000,2354601000,1962923000,2161254000,2088870000,2093300000,2205032000,2154313000,2681049000,2431735000,1986615000,1850737000,1873318000,1684226000,1511318000,1247256000,1166940000,1141001000,1088410000,1079097000,1062296000,252145000,261131000,259390000,286988000,310778000,318728000,347363000,382400000,392837000,310732000,256696000,225393000,236973000,236470000,170377000,170152000,140953000,127042000,130547000,107149000,95795000,91391000,82547000
Idaho,297078,292159,290743,296323,284735,279749,275972,276205,275075,272058,267533,261907,256004,252037,248515,246415,245009,245226,244623,244403,245252,243097,240448,2527080000,2382012000,2272275000,2162681000,2083854000,2044328000,2153251000,2234536000,2226585000,2187936000,2038375000,1895799000,1807183000,1733838000,1685984000,1636343000,1577405000,1458527000,1405250000,1310960000,1200185000,1134052000,1083215000,612665000,580373000,562402000,537310000,502935000,479052000,482108000,504290000,505333000,538504000,472433000,629565000,580644000,548404000,529432000,498714000,483645000,455174000,440737000,398932000,372182000,335348000,336586000,1669741000,1553093000,1470146000,1386935000,1336552000,1292728000,1371789000,1273313000,1498104000,1441044000,1360688000,1063602000,1033753000,1007906000,994022000,996936000,970238000,892911000,867752000,822017000,747250000,718218000,665768000,244674000,248546000,239727000,238436000,244367000,272548000,299354000,456933000,223148000,208388000,205254000,202632000,192786000,177528000,162530000,140693000,123522000,110442000,96761000,90011000,80753000,80486000,80861000
Illinois,2021550,2035008,2050239,2066990,2052513,2083097,2090403,2104422,2117291,2099412,2101085,2097585,2072437,2079027,2062664,2047836,2025249,2003839,1987427,1972406,1952892,1924970,1897161,35983598000,32918839000,32101113000,31086001000,30067143000,29900021000,29513007000,28255114000,26988141000,25435685000,24133645000,22722483000,21606884000,21055769000,19565530000,19023858000,18445693000,17527504000,16109010000,14634725000,13866808000,12732129000,12237085000,20004115000,19173584000,18728262000,18328066000,18050852000,17990482000,17312535000,16324604000,16469312000,15888428000,15212214000,14370328000,13150230000,12491306000,11569698000,11247693000,10957910000,10480237000,9904617000,9378572000,8970206000,8235248000,7844568000,13668208000,11410310000,11108935000,10455967000,9705408000,9479126000,9304948000,8120335000,7172173000,7550443000,7058613000,6465138000,6621293000,6816543000,6388591000,6351363000,6097998000,5778967000,5137844000,4304502000,4056901000,3768481000,3705759000,2311275000,2334945000,2263916000,2301968000,2310883000,2430413000,2895524000,3810175000,3346656000,1996814000,1862818000,1887017000,1835361000,1747920000,1607241000,1424802000,1389785000,1268300000,1066549000,951651000,839701000,728400000,686758000
Indiana,1049225,1046567,1046060,1047280,1040708,1040724,1047186,1046613,1033664,1037953,1038971,1030183,1018076,1008585,1000984,994348,987854,987214,986891,985690,981546,975455,966622,13351199000,13143063000,12849355000,12774416000,12597249000,12678255000,12319010000,14196700000,13056485000,11388165000,10489245000,11614481000,11685424000,10446055000,8257907000,9273957000,9124751000,8490883986,8167164000,7656749000,7885141000,6422662000,6514934000,4081556000,4040581000,3895259000,3867085000,3793708000,3882745000,3775432000,5214979000,5810266000,5186378000,4473596000,5471104000,5731155000,4735184000,3096951000,4303896000,4089869000,3764012986,3695211000,3542592000,3796628000,2817690000,2886574000,8279772000,8087006000,7956662000,7904221000,7758314000,7645460000,7483801000,7460068000,5833351000,5388894000,5246823000,5400321000,5241869000,5056055000,4575965000,4446730000,4590018000,4300608000,4094272000,3770236000,3783388000,3298257000,3335998000,989871000,1015476000,997434000,1003110000,1045227000,1150050000,1059777000,1521653000,1412868000,812893000,768826000,743056000,712400000,654816000,584991000,523331000,444864000,426270000,377681000,343921000,305125000,306715000,292362000
